상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220810544820,컴투온,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,21,인천광역시 부평구 부평동 738-21,282373154004,인천광역시 부평구 광장로,16,,2.82371010010224E+024,부평민자역사,인천광역시 부평구 광장로 16,403825,21404,,2,,126.72335370452,37.4895656909419
MA010120220810652788,세겹살,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.8237101001007E+018,1,대지,70,112,인천광역시 부평구 부평동 70-112,282373000066,인천광역시 부평구 부흥로,257,11,2.8237101001007E+024,,인천광역시 부평구 부흥로 257-11,403818,21378,,1,,126.720207776464,37.4993251676425
MA010120220810654235,큰맘할매순대국,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010185E+018,1,대지,185,20,인천광역시 부평구 부평동 185-20,282373154004,인천광역시 부평구 광장로,32,,2.82371010010185E+024,,인천광역시 부평구 광장로 32,403819,21404,,1,,126.724592871672,37.4908299929569
MA010120220810647892,빛이나는;네일,,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010546E+018,1,대지,546,68,인천광역시 부평구 부평동 546-68,282373154027,인천광역시 부평구 부평문화로,50,,2.82371010010546E+024,,인천광역시 부평구 부평문화로 50,403859,21389,,,,126.721653410046,37.4937423587011
MA010120220810801862,허쉬네일,,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010546E+018,1,대지,546,67,인천광역시 부평구 부평동 546-67,282373154027,인천광역시 부평구 부평문화로,50,1,2.82371010010546E+024,일부호,인천광역시 부평구 부평문화로 50-1,403859,21389,,3,,126.721811620179,37.493769761483
MA010120220810807517,바비코코,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,21,인천광역시 부평구 부평동 738-21,282373154004,인천광역시 부평구 광장로,16,,2.82371010010224E+024,부평민자역사,인천광역시 부평구 광장로 16,403825,21404,,2,,126.72335370452,37.4895656909419
MA010120220810800184,우정여인숙,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010534E+018,1,대지,534,80,인천광역시 부평구 부평동 534-80,282374262095,인천광역시 부평구 광장로4번길,37,,2.82371010010534E+024,,인천광역시 부평구 광장로4번길 37,403859,21404,,,,126.720601947354,37.4906584412307
MA010120220810881400,피에르가르뎅핸드백모다백화점,부평점,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.8237101001007E+018,1,대지,70,127,인천광역시 부평구 부평동 70-127,282373154027,인천광역시 부평구 부평문화로,35,,2.8237101001007E+024,모다백화점,인천광역시 부평구 부평문화로 35,403713,21387,,1,,126.719573500624,37.4935392189769
MA010120220810886591,나무,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,21,인천광역시 부평구 부평동 738-21,282373154004,인천광역시 부평구 광장로,16,,2.82371010010224E+024,부평민자역사,인천광역시 부평구 광장로 16,403825,21404,,2,,126.72335370452,37.4895656909419
MA010120220811122183,투썸플레이스부평시장역점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010529E+018,1,대지,529,22,인천광역시 부평구 부평동 529-22,282372008008,인천광역시 부평구 부평대로,65,,2.82371010010529E+024,,인천광역시 부평구 부평대로 65,403825,21388,,1,,126.722036196215,37.4972481656808
